,comment,corridorCode,productIdentification,productHour,offeredCapacity,requestedCapacity,allocatedCapacity,auctionPrice,additionalMessage,datetime
83,,PL-UA,B04-------,03:00-04:00,32.0,5.0,5.0,0.0,,2024-04-08 03:00:00
84,,PL-UA,B05-------,04:00-05:00,69.0,5.0,5.0,0.0,,2024-04-08 04:00:00
85,,PL-UA,B06-------,05:00-06:00,69.0,5.0,5.0,0.0,,2024-04-08 05:00:00
86,,PL-UA,B07-------,06:00-07:00,69.0,5.0,5.0,0.0,,2024-04-08 06:00:00
87,,PL-UA,B16-------,15:00-16:00,0.0,0.0,0.0,0.0,,2024-04-08 15:00:00
88,,PL-UA,B17-------,16:00-17:00,50.0,55.0,50.0,0.01,,2024-04-08 16:00:00
89,,PL-UA,B18-------,17:00-18:00,141.0,146.0,141.0,0.01,,2024-04-08 17:00:00
90,,PL-UA,B19-------,18:00-19:00,228.0,233.0,228.0,0.01,,2024-04-08 18:00:00
91,,PL-UA,B20-------,19:00-20:00,246.0,251.0,246.0,0.01,,2024-04-08 19:00:00
92,,PL-UA,B21-------,20:00-21:00,210.0,215.0,210.0,0.01,,2024-04-08 20:00:00
93,,PL-UA,B22-------,21:00-22:00,123.0,128.0,123.0,0.01,,2024-04-08 21:00:00
94,,PL-UA,B23-------,22:00-23:00,141.0,5.0,5.0,0.0,,2024-04-08 22:00:00
95,,PL-UA,B24-------,23:00-24:00,69.0,5.0,5.0,0.0,,2024-04-08 23:00:00
96,,PL-UA,B01-------,00:00-01:00,32.0,5.0,5.0,0.0,,2024-04-09 00:00:00
97,,PL-UA,B02-------,01:00-02:00,0.0,0.0,0.0,0.0,,2024-04-09 01:00:00
98,,PL-UA,B03-------,02:00-03:00,0.0,0.0,0.0,0.0,,2024-04-09 02:00:00
99,,PL-UA,B04-------,03:00-04:00,32.0,5.0,5.0,0.0,,2024-04-09 03:00:00
100,,PL-UA,B05-------,04:00-05:00,69.0,5.0,5.0,0.0,,2024-04-09 04:00:00
101,,PL-UA,B06-------,05:00-06:00,69.0,5.0,5.0,0.0,,2024-04-09 05:00:00
102,,PL-UA,B07-------,06:00-07:00,69.0,5.0,5.0,0.0,,2024-04-09 06:00:00
103,,PL-UA,B08-------,07:00-08:00,69.0,5.0,5.0,0.0,,2024-04-09 07:00:00
104,,PL-UA,B09-------,08:00-09:00,0.0,0.0,0.0,0.0,,2024-04-09 08:00:00
